Date,Route,Price_USD,Origin_LSCI,Dest_LSCI,Route_Mean_LSCI,Route_Mean_air,air_South_China_Sea,air_Indian_Ocean,air_Arabian_Sea,air_Red_Sea,air_Mediterranean_Sea,air_North_Atlantic,air_North_Sea,Route_Mean_slp,slp_South_China_Sea,slp_Indian_Ocean,slp_Arabian_Sea,slp_Red_Sea,slp_Mediterranean_Sea,slp_North_Atlantic,slp_North_Sea,Route_Mean_wind_speed,wind_speed_South_China_Sea,wind_speed_Indian_Ocean,wind_speed_Arabian_Sea,wind_speed_Red_Sea,wind_speed_Mediterranean_Sea,wind_speed_North_Atlantic,wind_speed_North_Sea,cyclone_wind_South_China_Sea,cyclone_slp_South_China_Sea,cyclone_dist_South_China_Sea,cyclone_active_South_China_Sea,cyclone_wind_Indian_Ocean,cyclone_slp_Indian_Ocean,cyclone_dist_Indian_Ocean,cyclone_active_Indian_Ocean,cyclone_wind_Arabian_Sea,cyclone_slp_Arabian_Sea,cyclone_dist_Arabian_Sea,cyclone_active_Arabian_Sea,cyclone_wind_Red_Sea,cyclone_slp_Red_Sea,cyclone_dist_Red_Sea,cyclone_active_Red_Sea,cyclone_wind_Mediterranean_Sea,cyclone_slp_Mediterranean_Sea,cyclone_dist_Mediterranean_Sea,cyclone_active_Mediterranean_Sea,cyclone_wind_North_Atlantic,cyclone_slp_North_Atlantic,cyclone_dist_North_Atlantic,cyclone_active_North_Atlantic,cyclone_wind_North_Sea,cyclone_slp_North_Sea,cyclone_dist_North_Sea,cyclone_active_North_Sea,Route_Max_cyclone_wind,Route_Min_cyclone_slp,Route_Min_cyclone_dist,Route_cyclone_active,air_North_Pacific_West,air_North_Pacific_East,slp_North_Pacific_West,slp_North_Pacific_East,wind_speed_North_Pacific_West,wind_speed_North_Pacific_East,cyclone_wind_North_Pacific_West,cyclone_slp_North_Pacific_West,cyclone_dist_North_Pacific_West,cyclone_active_North_Pacific_West,cyclone_wind_North_Pacific_East,cyclone_slp_North_Pacific_East,cyclone_dist_North_Pacific_East,cyclone_active_North_Pacific_East
2024-01-30,XSICNEFE_NorthEurope_FarEast,404,37.66,55.922222222222224,46.79111111111111,289.90634370582353,295.9843614479167,299.65623666776315,298.234331989899,290.8978153695652,282.465534210084,283.9132826682353,278.1928435873016,101787.93343886033,101552.78645833333,101203.86513157895,101475.101010101,101686.30434782608,103053.6974789916,101451.67647058824,102092.10317460318,3.2812266030076924,3.295664120887277,1.6826335699608665,2.787577501688733,2.864050495625072,2.980789045036219,3.0711019944656113,6.286769493390068,0.0,,,0.0,95.0,952.0,715.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,95.0,952.0,715.0,1.0,,,,,,,,,,,,,,
2024-01-31,XSICNEFE_NorthEurope_FarEast,404,37.66,55.922222222222224,46.79111111111111,290.0114084688713,296.890098,299.7504873651316,298.5679251010101,290.2461880869565,282.16721999159665,284.5801703247059,277.8777704126984,101657.76540720198,101473.02083333333,101282.79605263157,101472.07070707071,101732.88043478261,103068.78151260504,101476.43529411765,101098.37301587302,3.7170639665015925,2.761929321064879,1.134186212655888,1.6279885247209198,3.2792511217142195,2.2856827702415377,2.7843714699361364,12.146038345177569,0.0,,,0.0,0.0,,817.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,817.0,1.0,,,,,,,,,,,,,,
2024-02-01,XSICNEFE_NorthEurope_FarEast,404,37.66,55.922222222222224,46.79111111111111,289.85459659449185,297.0111841666667,299.6245768651316,298.78130223232324,289.08368726086957,282.50965187394957,284.4555170164706,277.51625674603173,101657.82725231934,101442.8125,101288.5197368421,101452.19696969698,101733.58695652174,102878.15126050421,101621.70588235294,101187.81746031746,3.6476652885783922,2.099108661816358,1.6157743306434322,1.0151151415863933,4.220438948886218,2.468781523000912,2.723204997882475,11.391233416232959,0.0,,,0.0,0.0,,875.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,875.0,1.0,,,,,,,,,,,,,,
2024-02-02,XSICNEFE_NorthEurope_FarEast,399,37.66,55.922222222222224,46.79111111111111,289.9021726056031,296.7932165,299.7429155065789,298.2810473030303,288.2793394565217,282.8962082773109,284.33281202117644,278.9896691746032,101598.59130871428,101391.27604166667,101224.7697368421,101456.16161616161,101846.84782608696,102621.1974789916,101744.3705882353,100905.51587301587,3.780811155683599,2.3463710467315786,1.903076984881438,1.5429070774200784,3.8216054229019143,2.8573540741520453,2.3642355577516305,11.63012792594651,0.0,,,0.0,0.0,,1054.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,1054.0,1.0,,,,,,,,,,,,,,
2024-02-05,XSICNEFE_NorthEurope_FarEast,393,37.66,55.922222222222224,46.79111111111111,290.33612451506553,296.5760365208333,299.75854730263154,298.3060556060606,290.75271086956525,285.3493632773109,284.87087642588233,276.7392816031746,101513.70511506921,101494.47916666667,101290.68256578948,101634.49494949495,101929.51086956522,102550.94537815126,101204.71176470588,100491.11111111111,3.2719281134178835,2.3231228682681304,2.2626220838202604,3.549937193078653,2.654839163055007,3.515159625577483,1.7143311157726504,6.8834847443530025,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,
2024-02-06,XSICNEFE_NorthEurope_FarEast,392,37.66,55.922222222222224,46.79111111111111,290.18914080116014,296.33879575,299.8409473618421,297.84923435353534,290.3065166521739,286.03570868067226,285.37540663529415,275.57737617460316,101463.21409052883,101482.00520833333,101353.52796052632,101636.41414141415,102067.22826086957,102443.00420168067,101279.88235294117,99980.43650793651,3.1233795480592774,2.6141986605998424,2.7055844090122045,3.673516272564546,3.67230095590126,3.549914619057982,1.1755809022581163,4.472561017020992,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,
2024-02-07,XSICNEFE_NorthEurope_FarEast,391,37.66,55.922222222222224,46.79111111111111,289.93814108945196,295.97499380208336,299.7708822236842,297.52878184848487,290.71901547826087,285.9407503445378,285.3901104211765,274.24245350793655,101373.85909991545,101349.66145833333,101375.92927631579,101747.5505050505,101983.36956521739,102035.04201680672,101168.95294117647,99956.50793650794,3.2842209634667547,2.414312587426367,3.0024622960809673,5.447142568330879,2.9957478435697555,4.0190203297224985,0.7599117778459821,4.350949341290836,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,
2024-02-08,XSICNEFE_NorthEurope_FarEast,391,37.66,55.922222222222224,46.79111111111111,289.86984823478537,295.15805571875,299.7197995164474,297.391904989899,291.70650056521737,286.3369577394958,284.68486338352943,274.09085573015875,101216.65638038248,101362.31770833333,101327.83717105263,101749.54545454546,101777.71739130435,101563.40336134454,100943.35294117648,99792.42063492064,3.022429613072996,3.1567955476534344,2.823443487470333,5.581417057422283,2.1800491019221737,4.5203361807830245,2.424421658320295,0.4705442579394279,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,
2024-02-09,XSICNEFE_NorthEurope_FarEast,391,37.66,55.922222222222224,46.79111111111111,290.20038682954925,295.23489789583334,299.9773029473684,297.71262705050503,292.8777160869565,286.44642857142856,284.55453033411766,274.5992049206349,101062.24455102468,101649.19270833333,101410.50986842105,101654.4191919192,101508.20652173914,100982.54201680672,100843.97647058824,99386.86507936507,4.304754420076196,5.003120680830133,3.35365880895809,4.952118892561216,1.5512718839875563,5.9633917416156805,3.907891110652283,5.401827821928412,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,
2024-02-12,XSICNEFE_NorthEurope_FarEast,389,37.66,55.922222222222224,46.79111111111111,290.6198319651218,295.81379672916665,300.18338230263157,298.07625945454544,292.46847336956523,286.51280951260503,285.4809348635294,275.8031675238095,101181.12121277288,101737.36979166667,101449.69572368421,101543.05555555556,101603.04347826086,101134.8949579832,100846.05882352941,99953.73015873016,3.9209869134489144,5.541531243827357,4.751827159964984,4.123111871710433,2.8204566516033496,3.89738158145118,2.7234523376518776,3.589147547933219,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,
